Title,Type,DietaryPreference,PrepTimeMins,Ingredients,ProteinPerServingGrams,CarbPerServingGrams,proteinToCarbRatio,isSoggyProof,instructions,Tips,AgeGroup,AllergyTags
Besan Veg Cheela Squares,Lunch Box,Veg,15,Besan; Carrot; Zucchini; Watermelon; Raisins,14,29,0.48,Yes,Prepare batter; Cook cheela; Steam zucchini,Avoid watery batter,07-13,Nut Free Option Possible
Besan Mini Cheela,Quick Bites,Veg,10,Besan; Grated carrot; Cucumber sticks; Grapes; Raisins,12,22,0.55,Yes,Prepare thick batter; Cook mini cheelas; Cut cucumber; Wash grapes,Keep batter thick,07-13,Nut Free Option Possible
Peanut Butter Millet Porridge,Breakfast,Veg,12,Ragi flour; Milk; Peanut butter; Apple cubes; Raisins,16,30,0.53,Yes,Cook ragi in milk; Add peanut butter; Top apple & raisins,Stir continuously to avoid lumps,07-13,"Contains Dairy, Contains Nuts"
Egg Mayo Sandwich,Quick Bites,Egg,10,Boiled eggs; Whole wheat bread; Broccoli; Grapes; Cashews,18,28,0.64,Yes,Mash egg; Add little mayo; Assemble; Steam broccoli,Use minimal mayo,07-13,"Contains Egg, Contains Nuts"
Egg Veg Mug Omelette,Quick Bites,Egg,10,Eggs; Capsicum; Bread cubes; Steamed peas; Banana; Cashews,18,22,0.82,Yes,Mix egg & veg; Microwave 2 mins; Steam peas; Slice banana,Do not overcook,07-13,"Contains Egg, Contains Nuts"
Scrambled Egg & Sweet Potato,Breakfast,Egg,15,Eggs; Sweet potato; Orange; Almonds,21,22,0.95,Yes,Scramble eggs; Steam sweet potato; Peel orange,Cook eggs soft,07-13,"Contains Egg, Contains Nuts"
Moong Dal Chilla Roll,Lunch Box,Veg,20,Soaked moong dal; Paneer; Broccoli; Papaya; Cashews,16,32,0.50,Yes,Blend dal; Make chilla; Fill paneer; Roll; Steam broccoli; Cut papaya,Wrap in butter paper,07-13,"Contains Dairy, Contains Nuts"
Rajma Tikki Box,Lunch Box,Veg,20,Boiled rajma; Baby corn; Apple; Almonds,15,35,0.43,Yes,Mash rajma; Shape patties; Pan cook; Steam baby corn,Add besan for binding,07-13,Contains Nuts
Chicken Mini Sandwich,Lunch Box,Non-Veg,15,Whole wheat bread; Chicken; Zucchini; Banana; Almonds,20,34,0.59,Yes,Mix filling; Assemble sandwich; Steam zucchini,Butter paper wrap,07-13,"Contains NonVeg, Contains Nuts"
Boiled Egg Sandwich,Lunch Box,Egg,15,Boiled eggs; Whole wheat bread; Broccoli; Grapes; Cashews,20,30,0.67,Yes,Mash egg; Assemble; Steam broccoli,No mayo,07-13,"Contains Egg, Contains Nuts"
